2024-09-13 18:48:34.548687: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:35.072420: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:35.582517: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:36.105466: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:36.616643: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:37.135264: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:37.644998: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:38.165264: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:38.683934: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:39.223387: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:39.775131: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:40.297904: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:40.809692: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:41.321497: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:41.846304: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:42.394550: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:42.914818: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:43.431995: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:43.950132: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:44.464665: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:44.992210: nav_state=4, arming_state=1, failsafe=False
2024-09-13 18:48:45.517719: nav_state=4, arming_state=1, failsafe=False
